cod,sample_text
aa,Wikipedia bödero kœáth amliethog e rhyδ gē gell tō un gelœga. Denn grëað zero œáthws ar ðechre di zera...
ab,Авикипедиа (англ. Wikipedia) — зхы иақәиҭу аенциклопедиа.
af,"Wikipedia is 'n veeltalige ""kopielinkse"" ensiklopedie ontwerp om deur enigiemand gelees, verbeter en..."
ak,"Kyerɛ Twi kasa a atwerɛsɛm yi ɛwɔ mu. Kasa ahorow a wobɛtumi akyerɛ ɛne: Akuapem, Asante, Fante. Wikipedia..."
am,ውክፔዲያ የባለ ብዙ ቋንቋ የተሟላ ትክክለኛና ነጻ መዝገበ ዕውቀት (ኢንሳይክሎፒዲያ) ነው። ማንኛውም ሰው ለውክፔዲያ መጻፍ ይችላል። ውክፔዲያ፣ ውክሚዲያ የተባለ...
an,Biquipedia (Wikipedia en anglés) ye una enciclopedia de contenito libre alazetada en a tecnolochía wiki…
ar,ويكيبيديا (تلفظ ‎[wi:ki:bi:dija:]‏ وتلحن ‎[wikipi:dia]‏؛ تلفظ بالإنجليزية ‎/ˌwɪkiˈpi:di.ə/‏) والكلمة...
as,"ৱিকিপিডিয়া (ইংৰাজী: Wikipedia) হৈছে অব্যৱসায়িক ৱিকিমিডিয়া ফাউণ্ডেছন সমৰ্থিত এখন মুক্ত, ৱেব-ভিত্তিক..."
av,"Википе́дия (ингл. Wikipedia, абула [ˌwɪkɨˈpiːdiə] яги [ˌwɪkiˈpiːdiə]) — эркенаб, щивасул жинде изну бугеб..."
ay,"Wikipidiya (Wikipedia) Uñt’anak panka (Insiklupidiya)Aruskipasipxañanakasakipunirakispawa. Awatkipasipxañanakasakipunirakispawa…"
az,"Vikipediya (ing. Wikipedia) — İnternetdə azad şəkildə yayımlanan, dünyanın bir çox dillərində viki texnologiyasının..."
ba,"Википедия (ингл. wikipedia  әйтелеше ) — төрлө телдә яҙылған, сикләүһеҙ ҡулланыуҙа булған ирекле интернет..."
be,"Вікіпедыя (англ.: Wikipedia) — шматмоўная, свабодная інтэрнэт-энцыклапедыя, якая ствараецца супрацоўніцтвам..."
bg,"Уикипедия (на английски: Wikipedia, произнасяно /ˌwɪkɪˈpiːdɪə/) е многоезична, уеб базирана енциклопедия..."
bh,वर्चुअल इंटरनेशनल ऑथारिटी फाइल (वी॰आइ॰एफ॰ए॰ (VIAF)) एगो इंटरनेशनल ऑथारिटी फाइल ह। ई कई गो राष्ट्रीय ल...
bi,Wikipedia i wan insaeklopidia we i fri. Olgeta oli save jenisem hem blong mekem infomesen insaed long...
bm,Wikipedia ye sude ɔnsiklopedi tabolo kura ye an bee bisee ka min labaara nyɔgɔn fɛ. Wikipedia yɛ wiki...
bn,"উইকিপিডিয়ার অ-বিশ্বকোষীয় পরিদর্শক পরিচিতির জন্য, দেখুন উইকিপিডিয়া:বৃত্তান্ত।উইকিপিডিয়া একটি সম্ম..."
bo,"ཆམ་ཚང་པདྨ་ལྷུན་གྲུབ་ཀྱི་ལོ་རྒྱུས་སྙིང་བསྡུས། ཆམ་ཚང་པདྨ་ལྷུན་གྲུབ ༡༩༧༢ལོར་བོད་མདོ་སྨད་གཅན་ཚ་ཆོས་ཚང་མའ..."
br,"Wikipedia (da vezañ distaget /wiˌkipeˈdiːa/ e brezhoneg) zo un holloueziadur digor, dindan an aotre-implijout..."
bs,Wikipedia je slobodna enciklopedija koju razvijaju dobrovoljci pomoću softvera MediaWiki. Wikipediju...
ca,"La Viquipèdia (Wikipedia en anglès, manlleu del hawaià wikiwiki –pronunciat amb variació lliure /ˈvikiˈviki/..."
ce,"Шира́з (гӀаж. شیراز — Širâz) — ГӀажарийчоьнан къилбера гӀала, Фарс провинцин административан центр, бахархойн..."
ch,Wikipedia i dibatde na proyektun ensaiklopidia nai minaneneha nu i Wikimedia Foundation. I Wikipedia...
co,"A Wikipedia hè una enciclopedia libara nant'à l'internet fundata da Jimmy Wales è Larry Sanger, in u..."
cr,Caltagirone ᒥᓂᔥᑎᒄ ᐋᒨ ᐅᑌᓈᐤ ᐊᑎᒼ Sicilia.
cs,Wikipedie (anglicky a v mnoha dalších jazycích Wikipedia) je mnohojazyčná online encyklopedie vytvořená…
cu,Википє́дїꙗ · англїискꙑ Wikipedia /ˌwɪkɪˈpiːdɪə/ идє ⁖ вики ⁖ ис хаваискаѥго ѩꙁꙑка поѩто ѥстъ · а ⁖ -пєдїꙗ...
